TargetImage,ChangeInConfidence,PercentChangeInConfidence,Success
testing/yaleB01/image0.jpg,-0.7070065,-0.95112497,1
testing/yaleB02/image0.jpg,-0.6238637,-0.7355173,1
testing/yaleB03/image0.jpg,-0.801493,-0.9363765,1
testing/yaleB04/image0.jpg,-0.51448774,-0.9926666,1
testing/yaleB05/image0.jpg,-0.46182686,-0.47583553,0
testing/yaleB06/image0.jpg,-0.50977,-0.96613884,1
testing/yaleB07/image0.jpg,-0.81717795,-0.9838816,1
testing/yaleB08/image0.jpg,-0.46028423,-0.8003198,0
testing/yaleB09/image0.jpg,-0.8033873,-0.9679253,1
testing/yaleB10/image0.jpg,-0.29710743,-0.7137185,1
testing/yaleB11/image0.jpg,-0.6130178,-0.98987436,1
testing/yaleB12/image0.jpg,-0.80027664,-0.950068,1
testing/yaleB13/image0.jpg,-0.6166205,-0.8460459,1
testing/yaleB15/image0.jpg,-0.39584953,-0.8575662,1
testing/yaleB16/image0.jpg,-0.306839,-0.49628255,0
testing/yaleB17/image0.jpg,-0.5404916,-0.9257761,1
testing/yaleB18/image0.jpg,-0.46708822,-0.8709029,1
testing/yaleB19/image0.jpg,-0.5266078,-0.9918585,1
testing/yaleB20/image0.jpg,-0.7810859,-0.9815047,1
testing/yaleB21/image0.jpg,-0.7370901,-0.9736767,1
testing/yaleB22/image0.jpg,-0.4319459,-0.46501794,0
testing/yaleB23/image0.jpg,-0.37939397,-0.99780536,1
testing/yaleB24/image0.jpg,-0.650749,-0.90405643,1
testing/yaleB25/image0.jpg,-0.32468674,-0.71014476,1
testing/yaleB26/image0.jpg,-0.3844172,-0.98280364,1
testing/yaleB27/image0.jpg,-0.8519555,-0.893664,1
testing/yaleB28/image0.jpg,-0.20743734,-0.26950714,0
testing/yaleB29/image0.jpg,-0.76185757,-0.9652453,1
testing/yaleB30/image0.jpg,-0.9244004,-0.9571661,1
testing/yaleB31/image0.jpg,-0.5926097,-0.8641295,1
testing/yaleB32/image0.jpg,-0.3578646,-0.80239,1
testing/yaleB33/image0.jpg,-0.3777486,-0.97541875,1
testing/yaleB34/image0.jpg,-0.65370166,-0.7012702,0
testing/yaleB35/image0.jpg,-0.58237636,-0.9322428,1
testing/yaleB36/image0.jpg,-0.15256277,-0.30431396,0
testing/yaleB37/image0.jpg,-0.867279,-0.98977876,1
testing/yaleB38/image0.jpg,-0.781531,-0.93868744,1
testing/yaleB39/image0.jpg,-0.5957278,-0.94980305,1
